id,scenario,system,specificity,actionability,relevance,helpfulness,groundedness
input_006,interview,baseline,4,4,4,4,4
input_006,interview,bm25_rag,3,4,4,4,4
input_006,interview,dense_rag,4,4,3,4,4
input_006,interview,tag_bm25_rag,,,,,
input_006,interview,tag_dense_rag,4,4,4,4,4
input_007,presentation,baseline,4,4,3,3,4
input_007,presentation,bm25_rag,4,4,3,4,2
input_007,presentation,dense_rag,4,3,4,3,4
input_007,presentation,tag_bm25_rag,3,3,3,3,3
input_007,presentation,tag_dense_rag,3,4,3,3,2
input_008,presentation,baseline,3,4,3,3,4
input_008,presentation,bm25_rag,4,4,3,3,3
input_008,presentation,dense_rag,4,4,3,3,3
input_008,presentation,tag_bm25_rag,4,4,3,3,3
input_008,presentation,tag_dense_rag,3,4,3,4,4
input_009,presentation,baseline,4,4,4,4,4
input_009,presentation,bm25_rag,,,,,
input_009,presentation,dense_rag,,,,,
input_009,presentation,tag_bm25_rag,3,4,3,3,2
input_009,presentation,tag_dense_rag,3,4,3,3,3
input_010,interview,baseline,4,4,4,4,4
input_010,interview,bm25_rag,4,4,4,4,4
input_010,interview,dense_rag,4,4,3,3,4
input_010,interview,tag_bm25_rag,4,4,3,3,4
input_010,interview,tag_dense_rag,3,3,3,3,3
