id,scenario,system,specificity,actionability,relevance,helpfulness,groundedness
input_001,interview,baseline,4,4,5,5,5
input_001,interview,bm25_rag,3,4,4,4,3
input_001,interview,dense_rag,3,4,4,4,4
input_001,interview,tag_bm25_rag,3,4,4,4,4
input_001,interview,tag_dense_rag,4,5,4,5,4
input_002,interview,baseline,4,4,5,5,5
input_002,interview,bm25_rag,4,5,5,5,5
input_002,interview,dense_rag,4,4,4,4,4
input_002,interview,tag_bm25_rag,4,4,4,4,4
input_002,interview,tag_dense_rag,4,4,4,4,4
input_003,interview,baseline,3,4,4,4,4
input_003,interview,bm25_rag,3,4,3,3,2
input_003,interview,dense_rag,3,4,4,4,3
input_003,interview,tag_bm25_rag,3,3,3,3,2
input_003,interview,tag_dense_rag,3,4,4,4,4
input_004,interview,baseline,4,4,5,5,4
input_004,interview,bm25_rag,4,5,4,5,4
input_004,interview,dense_rag,3,4,4,4,4
input_004,interview,tag_bm25_rag,3,4,4,4,4
input_004,interview,tag_dense_rag,3,4,4,4,4
input_005,interview,baseline,4,5,4,4,4
input_005,interview,bm25_rag,4,4,4,4,4
input_005,interview,dense_rag,4,5,5,5,5
input_005,interview,tag_bm25_rag,4,4,5,5,5
input_005,interview,tag_dense_rag,,,,,
