id,scenario,system,specificity,actionability,relevance,helpfulness,groundedness
input_011,interview,baseline,4,4,3,3,4
input_011,interview,bm25_rag,3,3,3,3,4
input_011,interview,dense_rag,4,4,4,4,3
input_011,interview,tag_bm25_rag,3,3,3,3,4
input_011,interview,tag_dense_rag,4,4,4,4,4
input_012,interview,baseline,4,4,4,3,4
input_012,interview,bm25_rag,3,3,3,3,3
input_012,interview,dense_rag,4,4,3,3,3
input_012,interview,tag_bm25_rag,3,3,3,3,3
input_012,interview,tag_dense_rag,4,4,3,3,3
input_013,elevator_pitch,baseline,4,4,4,4,3
input_013,elevator_pitch,bm25_rag,4,4,3,4,4
input_013,elevator_pitch,dense_rag,4,4,3,3,4
input_013,elevator_pitch,tag_bm25_rag,4,3,3,3,3
input_013,elevator_pitch,tag_dense_rag,4,3,3,3,3
input_014,elevator_pitch,baseline,4,4,3,3,4
input_014,elevator_pitch,bm25_rag,3,4,3,3,3
input_014,elevator_pitch,dense_rag,3,4,3,4,3
input_014,elevator_pitch,tag_bm25_rag,4,4,3,3,3
input_014,elevator_pitch,tag_dense_rag,4,4,3,3,3
input_015,elevator_pitch,baseline,4,4,4,4,4
input_015,elevator_pitch,bm25_rag,4,4,4,4,4
input_015,elevator_pitch,dense_rag,4,4,3,4,4
input_015,elevator_pitch,tag_bm25_rag,4,4,3,3,3
input_015,elevator_pitch,tag_dense_rag,4,4,3,4,4
input_016,presentation,baseline,4,3,4,4,4
input_016,presentation,bm25_rag,3,3,2,3,2
input_016,presentation,dense_rag,3,4,3,4,3
input_016,presentation,tag_bm25_rag,4,4,4,4,4
input_016,presentation,tag_dense_rag,4,4,4,4,4
input_017,presentation,baseline,,,,,
input_017,presentation,bm25_rag,3,3,3,3,3
input_017,presentation,dense_rag,,,,,
input_017,presentation,tag_bm25_rag,,,,,
input_017,presentation,tag_dense_rag,4,4,3,3,4
input_018,presentation,baseline,3,4,4,4,4
input_018,presentation,bm25_rag,3,3,3,3,2
input_018,presentation,dense_rag,3,4,3,3,3
input_018,presentation,tag_bm25_rag,4,4,4,4,4
input_018,presentation,tag_dense_rag,3,3,3,3,3
